GeneSymbol	test
Dr1	Dr1
Drg1	Drg1
Arid3a	Arid3a
E2f1	E2f1
E2f3	E2f3
E2f5	E2f5
E4f1	E4f1
Ebf1	Ebf1
Ebf2	Ebf2
Ebf3	Ebf3
Eed	Eed
Egr1	Egr1
Egr2	Egr2
Egr3	Egr3
Egr4	Egr4
Ehf	Ehf
Elf1	Elf1
Elf3	Elf3
Elf5	Elf5
Elk1	Elk1
Elk3	Elk3
Elk4	Elk4
Ell	Ell
Emx1	Emx1
Emx2	Emx2
En1	En1
En2	En2
Eomes	Eomes
Epas1	Epas1
Nr2f6	Nr2f6
Nr2f1	Nr2f1
Ercc2	Ercc2
Ercc3	Ercc3
Erf	Erf
Erg	Erg
Esr1	Esr1
Esr2	Esr2
Esx1	Esx1
Etsrp71	Etsrp71
Etv1	Etv1
Etv6	Etv6
Evi1	Evi1
Bcl11a	Bcl11a
Evx1	Evx1
Evx2	Evx2
Ewsh	Ewsh
Ezh1	Ezh1
Ezh2	Ezh2
Fah	Fah
Fusip1	Fusip1
Foxh1	Foxh1
Fem1a	Fem1a
Fem1b	Fem1b
Fhl2	Fhl2
Foxi1	Foxi1
Foxc2	Foxc2
Foxm1	Foxm1
Foxn2	Foxn2
Foxd4	Foxd4
Foxf2	Foxf2
Fkhl18	Fkhl18
Foxb2	Foxb2
Foxl1	Foxl1
Fli1	Fli1
Fos	Fos
Fosb	Fosb
Fosl1	Fosl1
Fosl2	Fosl2
Fxr1h	Fxr1h
Gabpa	Gabpa
Gabpb1	Gabpb1
Gas7	Gas7
Gata1	Gata1
Gata2	Gata2
Gata3	Gata3
Gata4	Gata4
Gata5	Gata5
Gata6	Gata6
Gbx2	Gbx2
Mtpn	Mtpn
Gcm1	Gcm1
Gcn5l2	Gcn5l2
Nr6a1	Nr6a1
Gfi1	Gfi1
Gfi1b	Gfi1b
Dsip1	Dsip1
Gli	Gli
Gli2	Gli2
Gli3	Gli3
Glrp1	Glrp1
Aes	Aes
Nr3c1	Nr3c1
Gsc	Gsc
Gsh1	Gsh1
Gsh2	Gsh2
Gtf2h1	Gtf2h1
Gtf2h4	Gtf2h4
Gtf2i	Gtf2i
Baz1a	Baz1a
Nkx6-2	Nkx6-2
Hand1	Hand1
Hand2	Hand2
Hcfc1	Hcfc1
Hcls1	Hcls1
Hdac1	Hdac1
Hdac2	Hdac2
Hdac3	Hdac3
