GeneSymbol	test
Dmrtc2	Dmrtc2
4933429H19Rik	4933429H19Rik
Arid5b	Arid5b
Ches1	Ches1
Fmnl2	Fmnl2
Bcor	Bcor
Obox1	Obox1
Pogk	Pogk
9130012O13Rik	9130012O13Rik
Cdc5l	Cdc5l
Cic	Cic
1300004C11Rik	1300004C11Rik
1300019N10Rik	1300019N10Rik
Ing3	Ing3
1110001J12Rik	1110001J12Rik
1110020M19Rik	1110020M19Rik
Gtf2a1lf	Gtf2a1lf
Zfp297b	Zfp297b
Phf7	Phf7
1700012B18Rik	1700012B18Rik
2310076O14Rik	2310076O14Rik
Lass5	Lass5
Ddx54	Ddx54
Ckn1	Ckn1
Phf10	Phf10
Harp	Harp
2600014C22Rik	2600014C22Rik
2810405K07Rik	2810405K07Rik
2610524B01Rik	2610524B01Rik
Mms19l	Mms19l
Lsm11	Lsm11
Nkd2	Nkd2
Asb6	Asb6
2410004N05Rik	2410004N05Rik
Ankrd3	Ankrd3
2600017A12Rik	2600017A12Rik
Zfp131	Zfp131
Ssbp3	Ssbp3
2700043M03Rik	2700043M03Rik
Bclaf1	Bclaf1
2700067D09Rik	2700067D09Rik
Zfp248	Zfp248
B3Gat3	B3Gat3
Skz1	Skz1
2810455B10Rik	2810455B10Rik
Ccnt2	Ccnt2
2900054J07Rik	2900054J07Rik
Wasl	Wasl
Nfatc4	Nfatc4
Nptxr	Nptxr
Hbp1	Hbp1
1700065O13Rik	1700065O13Rik
Rnf38	Rnf38
Mbd3l1	Mbd3l1
1700123A16Rik	1700123A16Rik
1700123J19Rik	1700123J19Rik
4933409K03Rik	4933409K03Rik
4933417L02Rik	4933417L02Rik
D8Ertd69e	D8Ertd69e
Btbd11	Btbd11
Gasz	Gasz
1200006M05Rik	1200006M05Rik
Zfp263	Zfp263
Foxp4	Foxp4
1300003B13Rik	1300003B13Rik
Nfx1	Nfx1
Zdhhc16	Zdhhc16
Gtf2e1	Gtf2e1
1700086D15Rik	1700086D15Rik
Hod	Hod
Cxxc1	Cxxc1
Hnrpr	Hnrpr
Xrcc3	Xrcc3
Zfp84	Zfp84
Hsf2bp	Hsf2bp
4933430F08Rik	4933430F08Rik
Zfp336	Zfp336
9130417I07Rik	9130417I07Rik
9130423L19Rik	9130423L19Rik
Narg1	Narg1
4930532L20Rik	4930532L20Rik
4930539I12Rik	4930539I12Rik
Prr3	Prr3
Zbtb3	Zbtb3
4930564N15Rik	4930564N15Rik
4930548G07Rik	4930548G07Rik
Sirt4	Sirt4
1700003F12Rik	1700003F12Rik
Hspb9	Hspb9
1700013G10Rik	1700013G10Rik
Acyp2	Acyp2
2010005A06Rik	2010005A06Rik
Jarid1b	Jarid1b
Rai14	Rai14
4932409F11Rik	4932409F11Rik
Mitc1	Mitc1
Zfp198	Zfp198
5830417I10Rik	5830417I10Rik
Asb5	Asb5
1110011F09Rik	1110011F09Rik
Tbx18	Tbx18
1700012M14Rik	1700012M14Rik
Mrsb	Mrsb
1700012H05Rik	1700012H05Rik
2210008I11Rik	2210008I11Rik
Snip1	Snip1
2410141K09Rik	2410141K09Rik
Jmjd2c	Jmjd2c
2810438M17Rik	2810438M17Rik
Lass2	Lass2
Ssbp4	Ssbp4
4921524J06Rik	4921524J06Rik
6030426L16Rik	6030426L16Rik
6720457D02Rik	6720457D02Rik
Zfp142	Zfp142
9430034D17Rik	9430034D17Rik
C030011J08Rik	C030011J08Rik
C330002I19Rik	C330002I19Rik
9230102N17Rik	9230102N17Rik
Lbh	Lbh
9230110K08Rik	9230110K08Rik
A030003K21Rik	A030003K21Rik
4930522L14Rik	4930522L14Rik
5730467H21Rik	5730467H21Rik
2410141M05Rik	2410141M05Rik
4921504N20Rik	4921504N20Rik
Creb3l4	Creb3l4
Helz	Helz
1700090G07Rik	1700090G07Rik
Asb8	Asb8
9530049C15Rik	9530049C15Rik
Brd8	Brd8
C330022B21Rik	C330022B21Rik
C330013J21Rik	C330013J21Rik
Brpf1	Brpf1
0610009M14Rik	0610009M14Rik
Asb15	Asb15
Sp2	Sp2
9130019O22Rik	9130019O22Rik
Polr3h	Polr3h
Hdac9	Hdac9
Zfp319	Zfp319
Bhlhb3	Bhlhb3
Spz1	Spz1
Abtb1	Abtb1
2210021A15Rik	2210021A15Rik
Pbx4	Pbx4
Mynn	Mynn
AA408868	AA408868
Zfp202	Zfp202
Htatip	Htatip
Zfp297	Zfp297
Jundm2	Jundm2
Bat4	Bat4
Tcfcp2l1	Tcfcp2l1
Tfap4	Tfap4
Sp6	Sp6
Glis2	Glis2
Lin28	Lin28
Gtf2a1	Gtf2a1
Trps1	Trps1
Tbx19	Tbx19
Hes7	Hes7
Cml3	Cml3
Zfp192	Zfp192
Rbm9	Rbm9
Klf7	Klf7
Sirt1	Sirt1
Arid1a	Arid1a
Smarca1	Smarca1
Smarca5	Smarca5
Dach2	Dach2
Wdr9	Wdr9
Cecr6	Cecr6
Pcqap	Pcqap
Zfp423	Zfp423
Maged1	Maged1
Ptges2	Ptges2
2310058J06Rik	2310058J06Rik
Hmgb2	Hmgb2
2810405L04Rik	2810405L04Rik
Zfp451	Zfp451
Sall4	Sall4
Taf13	Taf13
Hkr3	Hkr3
AF013969	AF013969
Aprin	Aprin
AW538212	AW538212
Zfp282	Zfp282
Tada3l	Tada3l
Taf5l	Taf5l
Snapc2	Snapc2
Ankrd10	Ankrd10
2310058A11Rik	2310058A11Rik
Maml1	Maml1
Hoxb2	Hoxb2
Hfh7	Hfh7
Zfp119	Zfp119
Isl2	Isl2
Rcor1	Rcor1
Psx2	Psx2
E2f4	E2f4
Rab15	Rab15
C730024G01Rik	C730024G01Rik
C330003B14Rik	C330003B14Rik
AI481750	AI481750
Tcf19	Tcf19
A630042L21Rik	A630042L21Rik
D330024H06Rik	D330024H06Rik
Gsh5	Gsh5
Myt2	Myt2
Atf5	Atf5
8030445B08Rik	8030445B08Rik
Zfp339	Zfp339
Prrxl1	Prrxl1
Ankrd1	Ankrd1
Bmyc	Bmyc
Gcm2	Gcm2
Chd4	Chd4
Cdk9	Cdk9
Nkx2-7	Nkx2-7
Surb7	Surb7
Taf9	Taf9
Foxp1	Foxp1
Zdhhc15	Zdhhc15
Ankhd1	Ankhd1
Uhrf2	Uhrf2
Supt3h	Supt3h
Tbx10	Tbx10
Lmo1	Lmo1
Hoxc11	Hoxc11
Ank2	Ank2
Zfp98	Zfp98
Zfp91	Zfp91
Hfh5	Hfh5
Hfh6	Hfh6
Hfh3	Hfh3
Tcfap4	Tcfap4
Dek	Dek
Gsh3	Gsh3
Dbx2	Dbx2
Nol1	Nol1
Bat8	Bat8
Sprm1	Sprm1
Hivep1	Hivep1
Mjd	Mjd
Hoxb3s	Hoxb3s
Nztf2	Nztf2
Lmx1a	Lmx1a
Nr3c2	Nr3c2
Sdccag33	Sdccag33
Foxe1	Foxe1
Pou5f1-rs10	Pou5f1-rs10
Mop3	Mop3
Foxp2	Foxp2
Zfp295	Zfp295
Tle6	Tle6
Brdt	Brdt
Pawr	Pawr
Vsx1	Vsx1
Foxn4	Foxn4
Baz2a	Baz2a
Mta1	Mta1
Mta3	Mta3
Sox16	Sox16
Taf4b	Taf4b
Ivns1abp	Ivns1abp
Asb10	Asb10
Klf16	Klf16
Otx3	Otx3
Trrap	Trrap
Centb5	Centb5
Ankrd6	Ankrd6
Rem2	Rem2
Sp7	Sp7
Ubn1	Ubn1
Scrt1	Scrt1
Zfp287	Zfp287
Rfxap	Rfxap
Hdac10	Hdac10
Rnpc2	Rnpc2
Ppargc1b	Ppargc1b
Zfp617	Zfp617
Ash1l	Ash1l
Clp1	Clp1
Bhc80	Bhc80
MGC39058	MGC39058
Ell2	Ell2
Jmjd2b	Jmjd2b
Gscl	Gscl
Pknox2	Pknox2
A930021G21Rik	A930021G21Rik
Dot1l	Dot1l
9030612M13Rik	9030612M13Rik
Kbtbd9	Kbtbd9
Creb3l3	Creb3l3
Hmgcs1	Hmgcs1
Sirt7	Sirt7
D5Ertd679e	D5Ertd679e
Taf3	Taf3
DXImx41e	DXImx41e
Tcfe3	Tcfe3
Hoxc10	Hoxc10
Mlr1	Mlr1
Zfp180	Zfp180
9430065N20Rik	9430065N20Rik
6720489N17Rik	6720489N17Rik
Zswim4	Zswim4
BC055310	BC055310
Mlr2	Mlr2
Satb2	Satb2
A830025F02Rik	A830025F02Rik
Centg3	Centg3
Sox30	Sox30
Mll	Mll
Myocd	Myocd
L3mbtl2	L3mbtl2
Jarid1a	Jarid1a
Vgll2	Vgll2
Polrmt	Polrmt
Thrap5	Thrap5
Cart1	Cart1
Gls2	Gls2
Ugp2	Ugp2
9630006B20Rik	9630006B20Rik
Tada2l	Tada2l
Hlf	Hlf
Myst2	Myst2
Nr1d1	Nr1d1
6030408C04Rik	6030408C04Rik
D130006K24Rik	D130006K24Rik
6430502M16Rik	6430502M16Rik
Btf3	Btf3
Glmr	Glmr
Rarb	Rarb
6720456H20Rik	6720456H20Rik
F830020C16Rik	F830020C16Rik
Sox21	Sox21
C730048E16Rik	C730048E16Rik
Mkl1	Mkl1
Atf7	Atf7
ORF63	ORF63
6720480D16Rik	6720480D16Rik
Zfp523	Zfp523
Hszfp36	Hszfp36
Trerf1	Trerf1
AI255170	AI255170
AU018122	AU018122
Fbxl11	Fbxl11
Taf6l	Taf6l
Rorb	Rorb
Dmrt2	Dmrt2
Taf5	Taf5
Zfp281	Zfp281
Atf6	Atf6
Elys	Elys
Tcfap2d	Tcfap2d
Pms1	Pms1
Snapc4	Snapc4
XPMC2H	XPMC2H
5830435C13Rik	5830435C13Rik
Zdhhc5	Zdhhc5
Ebf4	Ebf4
Nkx2-4	Nkx2-4
Trib3	Trib3
Asxl1	Asxl1
6820402O20Rik	6820402O20Rik
Tgif2	Tgif2
Ppp1r16b	Ppp1r16b
Ncoa5	Ncoa5
Zfp334	Zfp334
3632413B07Rik	3632413B07Rik
Taf4a	Taf4a
Gmeb2	Gmeb2
Pbxip1	Pbxip1
D3Jfr1	D3Jfr1
Gtf2b	Gtf2b
Ddx58	Ddx58
Zfp189	Zfp189
Glis1	Glis1
Jmjd2a	Jmjd2a
C330039G02Rik	C330039G02Rik
Thrap3	Thrap3
Tardbp	Tardbp
Phf13	Phf13
B930041F14Rik	B930041F14Rik
Gbx1	Gbx1
Mll3	Mll3
Polr2b	Polr2b
A730098D12Rik	A730098D12Rik
AI591476	AI591476
Creb5	Creb5
Hdac11	Hdac11
LOC232337	LOC232337
Ppp1r12c	Ppp1r12c
5730403M16Rik	5730403M16Rik
A230102I05Rik	A230102I05Rik
Hkr2	Hkr2
6430596G11Rik	6430596G11Rik
6330581L23Rik	6330581L23Rik
Zfp592	Zfp592
Zf	Zf
Gtf3c1	Gtf3c1
Zfp553	Zfp553
BC026432	BC026432
Fus	Fus
LOC233987	LOC233987
Zfp612	Zfp612
Crsp6	Crsp6
Zfp426	Zfp426
Ankrd25	Ankrd25
BC005471	BC005471
Zfp145	Zfp145
Rab8b	Rab8b
6230410P16Rik	6230410P16Rik
Scap	Scap
AW610627	AW610627
BC021921	BC021921
Tceal1	Tceal1
Tbpl1	Tbpl1
BC024063	BC024063
G431002C21Rik	G431002C21Rik
Zfp454	Zfp454
3526402J09Rik	3526402J09Rik
Arid4a	Arid4a
Homez	Homez
6030449J21	6030449J21
9930016F01Rik	9930016F01Rik
6030490I01Rik	6030490I01Rik
BC031441	BC031441
Fem1c	Fem1c
Setbp1	Setbp1
BC024969	BC024969
6430585N13Rik	6430585N13Rik
Dmrt3	Dmrt3
St18	St18
Carf	Carf
Lass6	Lass6
D430039N05Rik	D430039N05Rik
Dmrta1	Dmrta1
Dmrta2	Dmrta2
E2f2	E2f2
E130309B19Rik	E130309B19Rik
Zfp128	Zfp128
4732429I09Rik	4732429I09Rik
Zfp537	Zfp537
D030014N22Rik	D030014N22Rik
Hip14l	Hip14l
Myst3	Myst3
D230022C05Rik	D230022C05Rik
Bsx	Bsx
6030424L22Rik	6030424L22Rik
Tbx22	Tbx22
Tgifx1	Tgifx1
D030011N01Rik	D030011N01Rik
Rbbp7	Rbbp7
Polr2h	Polr2h
Onecut3	Onecut3
Zfp277	Zfp277
Mllt6	Mllt6
Obox3	Obox3
Obox5	Obox5
Fev	Fev
Shprh	Shprh
4921515A04Rik	4921515A04Rik
G431001E03Rik	G431001E03Rik
Phf12	Phf12
Zbtb1	Zbtb1
5730589K01Rik	5730589K01Rik
Nrip1	Nrip1
Caskin1	Caskin1
Gtf3c4	Gtf3c4
Cyln2	Cyln2
A630035I11Rik	A630035I11Rik
Gcdh	Gcdh
B430306D02Rik	B430306D02Rik
BC024139	BC024139
A730032D07Rik	A730032D07Rik
Zfp398	Zfp398
Irf2bp1	Irf2bp1
Spib	Spib
Tcfl5	Tcfl5
Ankrd5	Ankrd5
4921509E05Rik	4921509E05Rik
6330583I20Rik	6330583I20Rik
A830014H24Rik	A830014H24Rik
5830403E09Rik	5830403E09Rik
E430039K05Rik	E430039K05Rik
6330416L07Rik	6330416L07Rik
4932422E22Rik	4932422E22Rik
D130026O16Rik	D130026O16Rik
D830019J24Rik	D830019J24Rik
B930011H20Rik	B930011H20Rik
Lba1	Lba1
A630089N07Rik	A630089N07Rik
Phf8	Phf8
A730019I05Rik	A730019I05Rik
Zhx3	Zhx3
A830023I12Rik	A830023I12Rik
Rfxdc1	Rfxdc1
Ep300	Ep300
A730012O14Rik	A730012O14Rik
AW146020	AW146020
Zfp82	Zfp82
Tcfap2e	Tcfap2e
D030022P06Rik	D030022P06Rik
Tieg2	Tieg2
Nr1d2	Nr1d2
2810021G02Rik	2810021G02Rik
Mafa	Mafa
9130211I03Rik	9130211I03Rik
Mzf6d	Mzf6d
Cri2	Cri2
Aff1	Aff1
Aff2	Aff2
Aff3	Aff3
Aff4	Aff4
Kdm5c	Kdm5c
Kdm5a	Kdm5a
Arid2	Arid2
Arid5a	Arid5a
Jarid2	Jarid2
Arid4b	Arid4b
Kdm5b	Kdm5b
Kdm5d	Kdm5d
Arid3c	Arid3c
Arid1b	Arid1b
Mxd1	Mxd1
Mlxipl	Mlxipl
Tcf23	Tcf23
Id3	Id3
Mlx	Mlx
Id2	Id2
Id4	Id4
Mxd3	Mxd3
Bhlhe22	Bhlhe22
Sohlh2	Sohlh2
Mycl1	Mycl1
Figla	Figla
Bhlhe40	Bhlhe40
Bhlhe41	Bhlhe41
Mesp2	Mesp2
Mesp1	Mesp1
Atoh7	Atoh7
Mycn	Mycn
Mxd4	Mxd4
Atoh8	Atoh8
Mlxip	Mlxip
Arntl2	Arntl2
Id1	Id1
Bhlha9	Bhlha9
Bhlhe23	Bhlhe23
Olig3	Olig3
Ferd3l	Ferd3l
Msgn1	Msgn1
Helt	Helt
Bhlha15	Bhlha15
Gm608	Gm608
Cebpe	Cebpe
Camta1	Camta1
Camta2	Camta2
Grhl1	Grhl1
Grhl2	Grhl2
Grhl3	Grhl3
Ybx2	Ybx2
Ybx1	Ybx1
Csdc2	Csdc2
Lin28a	Lin28a
Lin28b	Lin28b
Csde1	Csde1
Cux1	Cux1
Cux2	Cux2
Onecut2	Onecut2
Dmrtb1	Dmrtb1
E2f7	E2f7
E2f8	E2f8
Etv2	Etv2
Etv5	Etv5
Gm5454	Gm5454
Foxj3	Foxj3
Foxn3	Foxn3
Foxk2	Foxk2
Foxo4	Foxo4
Foxi2	Foxi2
Foxo6	Foxo6
Foxi3	Foxi3
Foxr2	Foxr2
Foxr1	Foxr1
Foxs1	Foxs1
Gtf2ird2	Gtf2ird2
Tox4	Tox4
Hmgxb3	Hmgxb3
Hmgxb4	Hmgxb4
Wdhd1	Wdhd1
Hmgb4	Hmgb4
Tcf7l1	Tcf7l1
Whsc1	Whsc1
Hmg1l1	Hmg1l1
Hmgb1	Hmgb1
Ubtfl1	Ubtfl1
Tox2	Tox2
Tox3	Tox3
Pbrm1	Pbrm1
Tox	Tox
Hmga1-rs1	Hmga1-rs1
Sebox	Sebox
Nkx2-1	Nkx2-1
Mnx1	Mnx1
Rhox6	Rhox6
Nanog	Nanog
Hnf1b	Hnf1b
Vsx2	Vsx2
Hmbox1	Hmbox1
Gsc2	Gsc2
Lbx1	Lbx1
Zfhx4	Zfhx4
Meis2	Meis2
Dmbx1	Dmbx1
Uncx	Uncx
Pdx1	Pdx1
Nobox	Nobox
Lass3	Lass3
Isx	Isx
Barhl2	Barhl2
Hdx	Hdx
Lbx2	Lbx2
Gsx2	Gsx2
Alx1	Alx1
Zfhx3	Zfhx3
Zfhx2	Zfhx2
Meis3	Meis3
Obox6	Obox6
Tgif1	Tgif1
Duxbl	Duxbl
Nkx3-2	Nkx3-2
Rhox11	Rhox11
Rhox2a	Rhox2a
Gsx1	Gsx1
Rhox10	Rhox10
Gm4745	Gm4745
Hopx	Hopx
Rhox3a	Rhox3a
Mkx	Mkx
Tgif2lx1	Tgif2lx1
Tgif2lx2	Tgif2lx2
Nkx6-3	Nkx6-3
Rhox2e	Rhox2e
Rhox8	Rhox8
Rhox9	Rhox9
Noto	Noto
Zhx2	Zhx2
Rhox12	Rhox12
Rhox7	Rhox7
Rhox3h	Rhox3h
Rhox4e	Rhox4e
Rhox4b	Rhox4b
Rhox3e	Rhox3e
Rhox1	Rhox1
Gm10391	Gm10391
Gm10394	Gm10394
Cphx	Cphx
Crxos1	Crxos1
Obox2	Obox2
Gm4981	Gm4981
Rhox2h	Rhox2h
Rhox4g	Rhox4g
Rhox2g	Rhox2g
Rhox4f	Rhox4f
Rhox3f	Rhox3f
Rhox2f	Rhox2f
Rhox4d	Rhox4d
Rhox2d	Rhox2d
Rhox4c	Rhox4c
Rhox3c	Rhox3c
Rhox2c	Rhox2c
Rhox2b	Rhox2b
Rhox4a	Rhox4a
Hnf1a	Hnf1a
Hsfy2	Hsfy2
Hsf5	Hsf5
Lcorl	Lcorl
Lcor	Lcor
Irf9	Irf9
Irf8	Irf8
Mbd1	Mbd1
Baz2b	Baz2b
Mbd4	Mbd4
Setdb2	Setdb2
Setdb1	Setdb1
Smad5	Smad5
Smad4	Smad4
Smad2	Smad2
Smad7	Smad7
Smad9	Smad9
Smad1	Smad1
Smad3	Smad3
Smad6	Smad6
Tada2a	Tada2a
Rcor2	Rcor2
Terf1	Terf1
Dnajc1	Dnajc1
Ttf1	Ttf1
Mier1	Mier1
Dnajc2	Dnajc2
Tada2b	Tada2b
Terf2	Terf2
Mier3	Mier3
Rcor3	Rcor3
Zzz3	Zzz3
Ccdc79	Ccdc79
Mysm1	Mysm1
Smarcc1	Smarcc1
Smarcc2	Smarcc2
Gm239	Gm239
Gm98	Gm98
Eaf2	Eaf2
Sub1	Sub1
Pou1f1	Pou1f1
Pou6f2	Pou6f2
Prox2	Prox2
Rfx6	Rfx6
Rfx7	Rfx7
Rfx8	Rfx8
Sp100	Sp100
Sp140	Sp140
Sp110	Sp110
Crebl2	Crebl2
Atf6b	Atf6b
Batf3	Batf3
Jdp2	Jdp2
Creb3l2	Creb3l2
Batf2	Batf2
Crebzf	Crebzf
Jund	Jund
Thap2	Thap2
Thap7	Thap7
Thap4	Thap4
Prkrir	Prkrir
Thap11	Thap11
Thap1	Thap1
Thap3	Thap3
Hnf4a	Hnf4a
Nr1h5	Nr1h5
Tsc22d1	Tsc22d1
Tsc22d2	Tsc22d2
Tsc22d4	Tsc22d4
Tsc22d3	Tsc22d3
Tulp3	Tulp3
Tulp2	Tulp2
Tub	Tub
Tulp1	Tulp1
Zbtb17	Zbtb17
Zbtb32	Zbtb32
Zfp651	Zfp651
Zbtb4	Zbtb4
Zbtb24	Zbtb24
Patz1	Patz1
Zbtb20	Zbtb20
Zbtb43	Zbtb43
Gzf1	Gzf1
Zbtb46	Zbtb46
Zbtb7b	Zbtb7b
Zbtb8a	Zbtb8a
Zbtb48	Zbtb48
Zbtb49	Zbtb49
Zbtb41	Zbtb41
Zbtb7a	Zbtb7a
Zbtb38	Zbtb38
Zbtb37	Zbtb37
Zbtb39	Zbtb39
Zbtb7c	Zbtb7c
Zbtb44	Zbtb44
Zbtb8b	Zbtb8b
Zbtb45	Zbtb45
Zbtb12	Zbtb12
Zbtb26	Zbtb26
Zbtb40	Zbtb40
Zbtb16	Zbtb16
Zbtb6	Zbtb6
Zbtb34	Zbtb34
Zbtb10	Zbtb10
Zbtb2	Zbtb2
Zbed4	Zbed4
2700081O15Rik	2700081O15Rik
Zfp839	Zfp839
Nufip1	Nufip1
Dpf1	Dpf1
Zfp821	Zfp821
Klf6	Klf6
Znf512b	Znf512b
Zfp276	Zfp276
Ikzf4	Ikzf4
Zfp959	Zfp959
Plag1	Plag1
Zfp81	Zfp81
Zfp324	Zfp324
Zfp184	Zfp184
Zfp775	Zfp775
Zfp655	Zfp655
Zfp955a	Zfp955a
Zfp296	Zfp296
Zfp790	Zfp790
Zfp715	Zfp715
Prdm15	Prdm15
Ikzf3	Ikzf3
Zkscan6	Zkscan6
Vezf1	Vezf1
Ikzf1	Ikzf1
Zfp687	Zfp687
Zfp607	Zfp607
Zkscan17	Zkscan17
Klf11	Klf11
Tshz3	Tshz3
Zkscan3	Zkscan3
A530054K11Rik	A530054K11Rik
Zfp369	Zfp369
Fezf2	Fezf2
Zfp187	Zfp187
Osr2	Osr2
Zfat	Zfat
Zfp251	Zfp251
Zfp641	Zfp641
Zfp605	Zfp605
Zscan10	Zscan10
Wiz	Wiz
Zeb1	Zeb1
Zscan30	Zscan30
Zfp397	Zfp397
Zfp871	Zfp871
Zfp521	Zfp521
Gli1	Gli1
Zfp711	Zfp711
Ikzf2	Ikzf2
Zeb2	Zeb2
Mecom	Mecom
Zfp618	Zfp618
Bnc2	Bnc2
Zfp362	Zfp362
Zfp12	Zfp12
Zkscan14	Zkscan14
Fezf1	Fezf1
Zkscan1	Zkscan1
Mzf1	Mzf1
Zfp583	Zfp583
Zfp273	Zfp273
Zfp719	Zfp719
Zkscan2	Zkscan2
Zfp300	Zfp300
Hinfp	Hinfp
Zfp949	Zfp949
Zfp7	Zfp7
Klf9	Klf9
Zfp446	Zfp446
Zfp944	Zfp944
Zfp551	Zfp551
Zfp707	Zfp707
Zxdc	Zxdc
Zfp418	Zfp418
Zfp661	Zfp661
Prdm4	Prdm4
Zscan12	Zscan12
Zfp157	Zfp157
Zic4	Zic4
Zscan21	Zscan21
Ovol2	Ovol2
Klf10	Klf10
Zbtb42	Zbtb42
Zfp384	Zfp384
Zkscan16	Zkscan16
Zscan2	Zscan2
Zfp653	Zfp653
Rreb1	Rreb1
Zfp335	Zfp335
Zfp800	Zfp800
Zfp770	Zfp770
Prdm13	Prdm13
Zfp236	Zfp236
Klf8	Klf8
Zic5	Zic5
Prdm14	Prdm14
Zfp532	Zfp532
Zfp410	Zfp410
Prdm10	Prdm10
Zfp513	Zfp513
Zfp866	Zfp866
Zfp963	Zfp963
Zfp784	Zfp784
Zfp536	Zfp536
Zfp3	Zfp3
Gm22	Gm22
Zfp879	Zfp879
Zfp507	Zfp507
Zfp758	Zfp758
Zfp444	Zfp444
Zfp367	Zfp367
Zfp688	Zfp688
Zfp574	Zfp574
Zfp691	Zfp691
Zfp956	Zfp956
Zfp560	Zfp560
Zfp629	Zfp629
Zfp764	Zfp764
Zfp62	Zfp62
Zfp322a	Zfp322a
Zfp526	Zfp526
Zfp316	Zfp316
Zfp787	Zfp787
Mbtps2	Mbtps2
Zfp740	Zfp740
Tshz1	Tshz1
Zfp445	Zfp445
Zfp654	Zfp654
Zfp358	Zfp358
Zfp286	Zfp286
Zfp768	Zfp768
Zfp30	Zfp30
Tshz2	Tshz2
Zfp473	Zfp473
Bcl11b	Bcl11b
Zfp738	Zfp738
Osr1	Osr1
Zfp407	Zfp407
Sp8	Sp8
Klf17	Klf17
Zfp710	Zfp710
Zfp689	Zfp689
LOC100503878	LOC100503878
Zfp260	Zfp260
Zfp644	Zfp644
Zfp668	Zfp668
Zfp646	Zfp646
Zfp672	Zfp672
Zfp697	Zfp697
Zfp831	Zfp831
Zscan29	Zscan29
Zfp623	Zfp623
Zfp940	Zfp940
Zfp366	Zfp366
Zfp169	Zfp169
Zfp11	Zfp11
Zfp455	Zfp455
Zfp524	Zfp524
Zfp786	Zfp786
Zfp579	Zfp579
Zfp217	Zfp217
Zfp961	Zfp961
Repin1	Repin1
Zfp212	Zfp212
Glis3	Glis3
Zfp943	Zfp943
Zfp952	Zfp952
Zfp472	Zfp472
Zscan4c	Zscan4c
Zfp747	Zfp747
Zfp867	Zfp867
Zfp869	Zfp869
Zscan22	Zscan22
Zfp771	Zfp771
Zfp182	Zfp182
Zfp667	Zfp667
Zkscan4	Zkscan4
Zfp174	Zfp174
Zfp647	Zfp647
Zfp819	Zfp819
Zfp78	Zfp78
Zfp811	Zfp811
Zfp935	Zfp935
Zfp101	Zfp101
Zfp457	Zfp457
Zfp458	Zfp458
Zkscan5	Zkscan5
A430033K04Rik	A430033K04Rik
Zfp709	Zfp709
AI987944	AI987944
Zbtb25	Zbtb25
Zfp953	Zfp953
Zfp658	Zfp658
Zfp663	Zfp663
C030039L03Rik	C030039L03Rik
Zfp870	Zfp870
Zfp759	Zfp759
Zfp53	Zfp53
Zfp317	Zfp317
Prdm2	Prdm2
Zfp746	Zfp746
Zfp119a	Zfp119a
Zfp595	Zfp595
Zfp329	Zfp329
Zfp809	Zfp809
Zscan5b	Zscan5b
Gm13242	Gm13242
Zfp846	Zfp846
Zfp85-rs1	Zfp85-rs1
Zfp420	Zfp420
Zfp958	Zfp958
Zfp516	Zfp516
Zfp708	Zfp708
Rsl1	Rsl1
Zfp353	Zfp353
Zfp799	Zfp799
Zfp945	Zfp945
Zfp933	Zfp933
Zfp637	Zfp637
Zfp874b	Zfp874b
Zfp341	Zfp341
Zfp422	Zfp422
Zfp930	Zfp930
Zfp74	Zfp74
Scrt2	Scrt2
2610008E11Rik	2610008E11Rik
Zfp941	Zfp941
Zfp937	Zfp937
Zfp868	Zfp868
Zfp266	Zfp266
Zfp735	Zfp735
Fiz1	Fiz1
Zfp955b	Zfp955b
Zfp229	Zfp229
Zscan20	Zscan20
Zfp119b	Zfp119b
Zfp954	Zfp954
Zfp677	Zfp677
Zfp512	Zfp512
Zfp599	Zfp599
Zfp28	Zfp28
Zfp938	Zfp938
9130023H24Rik	9130023H24Rik
Zfp780b	Zfp780b
Zfp26	Zfp26
LOC100503000	LOC100503000
Zfp947	Zfp947
Zfp167	Zfp167
Zfp773	Zfp773
Zfp69	Zfp69
Zfp936	Zfp936
Gm13154	Gm13154
Zfp600	Zfp600
Gm13051	Gm13051
Zfp575	Zfp575
Zfp772	Zfp772
Zfp960	Zfp960
Zfp563	Zfp563
Zfp763	Zfp763
Gm13139	Gm13139
Gm13138	Gm13138
Zfp760	Zfp760
Zfp948	Zfp948
Zfp160	Zfp160
Zfp442	Zfp442
Zfp120	Zfp120
Sp9	Sp9
Zfp619	Zfp619
Zfp114	Zfp114
Zfp72	Zfp72
Zfp748	Zfp748
Zfp825	Zfp825
Prdm6	Prdm6
Gm5595	Gm5595
Zfp820	Zfp820
Zfp498	Zfp498
Ctcfl	Ctcfl
Gm13251	Gm13251
1700049G17Rik	1700049G17Rik
Zscan4f	Zscan4f
Zfp352	Zfp352
Zfp827	Zfp827
Zfp213	Zfp213
Zfp946	Zfp946
Zfp71-rs1	Zfp71-rs1
Zfp87	Zfp87
Zfp58	Zfp58
Zfp777	Zfp777
Zfp951	Zfp951
Zxdb	Zxdb
Zfp449	Zfp449
5730507C01Rik	5730507C01Rik
Klf14	Klf14
Zfp788	Zfp788
AW146154	AW146154
Zfp791	Zfp791
Zfp382	Zfp382
Zfp568	Zfp568
Zfp865	Zfp865
Zfp628	Zfp628
Zfp872	Zfp872
Etohi1	Etohi1
Zfp345	Zfp345
Gm10778	Gm10778
Zfp934	Zfp934
Zfp808	Zfp808
