;p_val;avg_logFC;clus6.mean;clus2.mean
Smc2;0.0013408;0.294706268;0.444164235;0.149457967
Ly6c2;0.00134519;0.396591171;0.460202756;0.063611585
H2afz;0.001358316;0.38505247;2.368038603;1.982986133
Khk;0.001369858;0.230491043;0.29806471;0.067573667
Cpne3;0.001379428;0.264004301;0.376843404;0.112839102
Marcksl1;0.001403551;-0.339219753;0.37526824;0.714487993
Bfsp2;0.001419226;-0.158404086;0.031520301;0.189924386
Lcp1;0.001429896;0.370223322;0.784504135;0.414280813
H2-Ab1;0.001557143;0.431179368;0.53277706;0.101597692
Ms4a6b;0.001584073;0.159585539;0.159585539;0
Ncapd2;0.001588389;0.205571162;0.253383382;0.04781222
H2-DMa;0.00161746;0.420858088;1.151757733;0.730899645
Fuca2;0.001628238;0.196316245;0.235882211;0.039565965
Prc1;0.001649468;0.306481589;0.394416224;0.087934635
Ttc7;0.001706182;0.197595226;0.257610779;0.060015553
Cdk1;0.001715042;0.222625832;0.265511562;0.04288573
Eif4a1;0.001741903;-0.353592094;1.621310673;1.974902767
Msrb1;0.001765922;0.299695085;0.41863817;0.118943085
Nptn;0.001891575;0.191853547;0.234011667;0.04215812
Fxyd5;0.001949765;0.402585663;1.10701972;0.704434057
4833439L19Rik;0.001959827;-0.167454518;0.069451034;0.236905552
Cd53;0.002039103;0.335292331;0.795010096;0.459717765
Tubb4b;0.002048921;0.346842749;0.588906776;0.242064027
Hexa;0.002080908;0.293102913;0.512661976;0.219559063
Prkca;0.002094338;-0.235419241;0.170890795;0.406310036
Ensa;0.002116283;0.188880052;0.224096318;0.035216266
Eif4g2;0.002130887;-0.396078615;0.781810229;1.177888844
Ifrd2;0.00213356;-0.218704347;0.094925404;0.313629751
Creld2;0.002174801;0.193002641;0.25571223;0.062709589
Letmd1;0.002176738;-0.159808507;0.065860569;0.225669076
Mis18bp1;0.002220396;0.169231962;0.181453879;0.012221917
Mbd3;0.00226149;-0.348043834;0.464805593;0.812849427
Satb1;0.002267433;-0.298598024;0.321187582;0.619785606
Phgdh;0.002339974;-0.325240626;0.405638306;0.730878931
Mbnl1;0.002342446;0.363042666;1.909300862;1.546258196
Gpsm3;0.002352948;0.354639871;0.867942383;0.513302513
Pdcd4;0.00237996;-0.358080007;0.433001427;0.791081434
Sec61g;0.002406695;0.424323976;1.910301249;1.485977272
Tipin;0.002595482;0.245072526;0.382648364;0.137575838
Spns3;0.002681969;-0.245378645;0.240550938;0.485929583
Cux1;0.002716562;-0.345129647;0.577495182;0.922624829
H2-Ob;0.002769517;-0.220013979;0.101271472;0.32128545
Cdkn1b;0.002791663;0.198864582;0.242152891;0.043288309
Trappc1;0.002874195;0.204014331;0.305668641;0.10165431
Wdr12;0.002875121;-0.267375191;0.241440279;0.508815469
Zfp422;0.002878341;-0.371293178;0.73367755;1.104970728
Gsr;0.002988308;0.227507925;0.295728013;0.068220088
Ckb;0.002992252;0.199673566;0.199673566;0
Mxd3;0.002992252;0.135655576;0.135655576;0
Srsf11;0.003015861;-0.371812894;0.725045419;1.096858313
Tmx4;0.003019903;-0.1739704;0.067674502;0.241644902
Rogdi;0.003040711;0.260934915;0.438737496;0.177802581
